user id,product id,Interaction type,Time stamp,Customer ID,Age,Gender,Item Purchased,Category_x,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Uniqe Id,Product Name,Category_y,Selling Price,Shipping Weight,Is Amazon Seller,Order date
16,d1ac6d805fcdf75f9e00af611dd03ce4,like,2023-10-25 08:00:00,16,64.0,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8.0,PayPal,Monthly,d1ac6d805fcdf75f9e00af611dd03ce4,"The Learning Journey ABC Melody Maker, Primary",Toys & Games | Baby & Toddler Toys | Musical Toys,$34.39,2.1 pounds,Y,2023-10-25
17,d82015ffbf4cd54b0edfb890002971f3,purchase,2023-10-26 08:00:00,17,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,d82015ffbf4cd54b0edfb890002971f3,"The Complete Common Core: State Standards Kit, Grade 5",Toys & Games | Learning & Education | Flash Cards,$12.88,2.9 pounds,Y,2023-10-26
18,39f1b8a2129315da0288cd058b6b6086,view,2023-10-27 08:00:00,18,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,39f1b8a2129315da0288cd058b6b6086,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs,Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables,$117.26,39 pounds,Y,2023-10-27
19,4af0833f20a8421788fc04577b0ef1c5,like,2023-10-28 08:00:00,19,52.0,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly,4af0833f20a8421788fc04577b0ef1c5,Schylling Veterinarian Kit,Toys & Games | Novelty & Gag Toys | Money Banks,$9.39,15.2 ounces,Y,2023-10-28
20,fd71391871b94ead84733bc272dd5886,purchase,2023-10-29 08:00:00,20,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,fd71391871b94ead84733bc272dd5886,Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up,Toys & Games | Baby & Toddler Toys | Musical Toys,$17.85,4.2 ounces,Y,2023-10-29
21,a84f14dd0114d78f178b16f093cab0e0,purchase,2023-10-30 08:00:00,21,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,a84f14dd0114d78f178b16f093cab0e0,Disney HK318329 Sofia The First Sleepover Set,Toys & Games | Sports & Outdoor Play | Slumber Bags,$27.50,2 pounds,Y,2023-10-30
22,f5b9392a03cfae8817307a36411c8b17,view,2023-10-31 08:00:00,22,31.0,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,f5b9392a03cfae8817307a36411c8b17,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages,$10.99,1.6 ounces,Y,2023-10-31
23,89a993dbc079cc3fbe9088c8170b6f99,like,2023-11-01 08:00:00,23,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,89a993dbc079cc3fbe9088c8170b6f99,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",Toys & Games | Building Toys | Building Sets,$159.99,5.3 pounds,Y,2023-11-01
24,84fb43b933850dc05e57a162c5ba1702,view,2023-11-02 08:00:00,24,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,84fb43b933850dc05e57a162c5ba1702,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply",Toys & Games | Party Supplies | Party Tableware | Plates,$12.63,,Y,2023-11-02
25,af983053a35fa2a843092369ff3b400b,like,2023-11-03 08:00:00,25,18.0,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,af983053a35fa2a843092369ff3b400b,Peppa Pig Shape Sorter Clock Puzzle (12Piece),Toys & Games | Baby & Toddler Toys | Teaching Clocks,$11.88,11.2 ounces,Y,2023-11-03
26,6d38858169064c8b7069a19c90dd0ae4,like,2023-11-04 08:00:00,26,18.0,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,6d38858169064c8b7069a19c90dd0ae4,Huffy Kids Bikes 16 & 20 inch with Streamers and BMX Pegs,"Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes",$74.99 - $249.99,,Y,2023-11-04
27,326ebcfaa8d5204b634b5648e88e2fe4,purchase,2023-11-05 08:00:00,27,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,326ebcfaa8d5204b634b5648e88e2fe4,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,Toys & Games | Kids' Electronics,$26.99,1.23 pounds,Y,2023-11-05
28,a11d9462309527143094a0f68bce0a58,view,2023-11-06 08:00:00,28,56.0,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,a11d9462309527143094a0f68bce0a58,Industro Stainless Steel Hose Clamps,Home & Kitchen | Home Décor | Kids' Room Décor,$34.27,1.37 pounds,Y,2023-11-06
29,fdd8daf07ddd4a23832f3da7d209252f,like,2023-11-07 08:00:00,29,54.0,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,fdd8daf07ddd4a23832f3da7d209252f,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""",Baby Products | Nursery | Décor | Wall Décor | Growth Charts,$18.70,13.6 ounces,Y,2023-11-07
30,c15e7efbe14b9bbcb8b7fe31f9818021,purchase,2023-11-08 08:00:00,30,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,c15e7efbe14b9bbcb8b7fe31f9818021,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults,Toys & Games | Puzzles | Jigsaw Puzzles,$14.95,1.61 pounds,Y,2023-11-08
31,5bb4a9aa52085ada20006d166b1e2f87,purchase,2023-11-09 08:00:00,31,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,Credit Card,Monthly,5bb4a9aa52085ada20006d166b1e2f87,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included,Sports & Outdoors | Sports & Fitness | Team Sports,$6.91,0.8 ounces,Y,2023-11-09
32,2339c5be505bf647ebff669697c6bc25,view,2023-11-10 08:00:00,32,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,2339c5be505bf647ebff669697c6bc25,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400,Toys & Games | Dress Up & Pretend Play | Costumes,$5.99,3.36 ounces,Y,2023-11-10
33,93c659c89f9a1a81374c61c3fdf881bb,like,2023-11-11 08:00:00,33,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,93c659c89f9a1a81374c61c3fdf881bb,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli",Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets,$36.37,4.23 pounds,Y,2023-11-11
34,25a1fcc6db40f86566c5f2d902407b15,view,2023-11-12 08:00:00,34,54.0,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,25a1fcc6db40f86566c5f2d902407b15,TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure,Toys & Games | Toy Figures & Playsets | Action Figures,$60.87,1.45 pounds,N,2023-11-12
35,171c7524e8cf032d08d1315f3a538345,like,2023-11-13 08:00:00,35,36.0,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,171c7524e8cf032d08d1315f3a538345,"Forum Novelties Union Officer Child's Costume, Medium","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",$21.07,12.8 ounces,Y,2023-11-13
36,0b6ee0084290e441d87cd5db35cdabb3,like,2023-11-14 08:00:00,36,54.0,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,0b6ee0084290e441d87cd5db35cdabb3,"Weiler 14506 Nylox Cup Brush, 6"", 0.40/80SC Crimped Fill, 5/8""-11 UNC Nut",Toys & Games | Play Vehicles,$73.58,2 pounds,Y,2023-11-14
37,4449b3fa30a6becd3ede26511c8b2180,purchase,2023-11-15 08:00:00,37,35.0,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,4449b3fa30a6becd3ede26511c8b2180,Disney Mickey Golf Ball Spinner Pewter Key Ring Key Accessory,Toys & Games | Novelty & Gag Toys,$8.44,1.12 ounces,Y,2023-11-15
38,4832387affc268b3c9d6cca70dbdbcb4,view,2023-11-16 08:00:00,38,35.0,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,4832387affc268b3c9d6cca70dbdbcb4,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""",Toys & Games | Party Supplies,$6.45,1.6 ounces,Y,2023-11-16
39,487a3cc651bddbccb4738ef1e5aa40d0,like,2023-11-17 08:00:00,39,29.0,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,487a3cc651bddbccb4738ef1e5aa40d0,"Happy Birthday Jointed Letter Banner, Under Construction",Toys & Games | Party Supplies | Banners,$3.12,4.8 ounces,Y,2023-11-17
40,c3296d8ad42c3998c205f0dbca3998f3,purchase,2023-11-18 08:00:00,40,70.0,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,c3296d8ad42c3998c205f0dbca3998f3,Poopsie Unicorn Crush with Glitter and Slime Surprise (2-Pack),Toys & Games | Dolls & Accessories | Doll Accessories,$6.94 $ 6 . 94,1.3 pounds,Y,2023-11-18
41,3d63af78f4051d04ff6244e9cd299654,purchase,2023-11-19 08:00:00,41,69.0,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,3d63af78f4051d04ff6244e9cd299654,Funko Pop! Games: Persona 5 - The Joker (Styles May Vary),,$15.45,4.6 ounces,Y,2023-11-19
42,a1793c26a96a83a1544300a431e62902,view,2023-11-20 08:00:00,42,67.0,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,a1793c26a96a83a1544300a431e62902,Klutz Decorate This Journal Toy,Toys & Games | Arts & Crafts | Craft Kits,$16.01,13.6 ounces,Y,2023-11-20
43,486702a222224c41f9e243713d03f27a,like,2023-11-21 08:00:00,43,20.0,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,486702a222224c41f9e243713d03f27a,Random Esoteric Creature Generator for Classic Fantasy Rpgs & Their Modern Simulacra,Toys & Games | Games & Accessories,$19.94,5.6 ounces,Y,2023-11-21
44,6eedbf9388a4d905870f8fcd20790823,view,2023-11-22 08:00:00,44,25.0,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,6eedbf9388a4d905870f8fcd20790823,Bachmann Trains Great Northern Gondola,Toys & Games | Hobbies | Trains & Accessories | Train Cars | Freight Cars | Gondolas,$22.38,,Y,2023-11-22
45,dbf306088532d98d12f7da924cb4e87b,like,2023-11-23 08:00:00,45,39.0,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,dbf306088532d98d12f7da924cb4e87b,"Disney's Alice in Wonderland, ""The Hatter's Mad"" Woven Tapestry Throw Blanket, 48"" x 60"", Multi Color",Home & Kitchen | Bedding | Kids' Bedding | Blankets & Throws | Throws,$35.00,1.64 pounds,Y,2023-11-23
46,437d953bb394e40c86873504d40e1b44,like,2023-11-24 08:00:00,46,50.0,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,437d953bb394e40c86873504d40e1b44,Pacific Play Tent Agility Dog Training Chute,Pet Supplies | Dogs | Training & Behavior Aids | Agility Equipment | Tunnels,$37.98,6.4 pounds,Y,2023-11-24
47,e84e6e3a05a6fc610ff155b851fa1713,purchase,2023-11-25 08:00:00,47,57.0,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,e84e6e3a05a6fc610ff155b851fa1713,Barbie Babysitters Inc. Popcorn Set,Toys & Games | Dolls & Accessories | Dolls,$9.93,5.6 ounces,Y,2023-11-25
48,54f37f5ba4be7549cdf4a945bf1bdaad,view,2023-11-26 08:00:00,48,55.0,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,54f37f5ba4be7549cdf4a945bf1bdaad,"Losi Ride Height Gauge, LOSA99173",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,$11.99,0.32 ounces,Y,2023-11-26
49,4f41e104e3332ef045a90d8a294ffbd5,like,2023-11-27 08:00:00,49,42.0,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,4f41e104e3332ef045a90d8a294ffbd5,Melissa & Doug Disney Cinderella Rags to Riches Wooden Magnetic Game With 10 Magnetic Pieces and Wand,Toys & Games | Learning & Education,$11.12,15.2 ounces,Y,2023-11-27
50,a6c9ec0ff537edf9736f99b3ca993506,purchase,2023-11-28 08:00:00,50,68.0,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,a6c9ec0ff537edf9736f99b3ca993506,VTech Twist and Hug Koala Rattle,Toys & Games | Kids' Electronics | Electronic Learning Toys,$7.99,8.5 ounces,Y,2023-11-28
51,2d835e536f3e4aed4005091fe3955ebb,purchase,2023-11-29 08:00:00,51,49.0,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,2d835e536f3e4aed4005091fe3955ebb,"LAMO 5"" Vinyl Figure - Legacy Gamers Dr Disrespect, Red",,$19.50,8 ounces,Y,2023-11-29
52,82be0dec20a875155a066440ef111310,view,2023-11-30 08:00:00,52,59.0,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly,82be0dec20a875155a066440ef111310,"Marvel Avengers Assemble Captain America Costume T-Shirt with Mask, Small","Clothing, Shoes & Jewelry | Novelty & More | Clothing | Novelty | Men | Shirts | T-Shirts",$10.36,5 ounces,Y,2023-11-30
53,4cd74df98f6a204869dbc31ba3749d3c,like,2023-12-01 08:00:00,53,42.0,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,4cd74df98f6a204869dbc31ba3749d3c,"Vallejo Game Color Sunblast Yellow Paint, 17ml",Toys & Games | Hobbies | Hobby Building Tools & Hardware | Paints,$3.06,,Y,2023-12-01
54,74c5d3de523d24384aa913b71d29689b,view,2023-12-02 08:00:00,54,29.0,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,74c5d3de523d24384aa913b71d29689b,"Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll",Toys & Games | Arts & Crafts,$6.99,2.08 ounces,Y,2023-12-02
55,43a663416f7a8325321942235dfa6ef7,purchase,2023-12-03 08:00:00,55,47.0,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,43a663416f7a8325321942235dfa6ef7,Top Trumps Liverpool FC 18/19 Card Game,Toys & Games | Games & Accessories | Card Games,$6.11,3.52 ounces,Y,2023-12-03
56,f1a2c4a6317e54e9c76377c79eb35201,view,2023-12-04 08:00:00,56,40.0,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,f1a2c4a6317e54e9c76377c79eb35201,Hot Wheels Track Builder Straight Track with Car AND Hot Wheels Race Case Track Set,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys,$19.98,,Y,2023-12-04
57,c4c4257e9c0a5257ed3affae5c568aae,like,2023-12-05 08:00:00,57,41.0,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly,c4c4257e9c0a5257ed3affae5c568aae,"Wild Republic Mermaid Toy, Slap Bracelet, Gifts for Kids, Purple, Huggers 12""",,$7.99,1.92 ounces,Y,2023-12-05
58,9ab3556ad20a8d9c1595d298972b2eae,view,2023-12-06 08:00:00,58,21.0,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,9ab3556ad20a8d9c1595d298972b2eae,Melissa & Doug Annie Doll & Feeding Set Bundle,Toys & Games | Dolls & Accessories | Dolls,$24.99,,Y,2023-12-06
59,52c1091bb950f7466507179ac0bcbb86,like,2023-12-07 08:00:00,59,69.0,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,52c1091bb950f7466507179ac0bcbb86,"LeapFrog LeapStart Preschool 4-in-1 Activity Book Bundle with ABC, Shapes & Colors, Math, Animals",Toys & Games | Kids' Electronics | Electronic Learning Toys,$38.33,2 pounds,Y,2023-12-07
60,cb7fc27339298ae31485ce70a774f6cb,like,2023-12-08 08:00:00,60,63.0,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,cb7fc27339298ae31485ce70a774f6cb,Sherlock Holmes - The Challenge of Irene Adler,Toys & Games | Games & Accessories,$16.43,12.6 ounces,Y,2023-12-08
61,5483f67f50a97a8dd7f404f80eab75e1,purchase,2023-12-09 08:00:00,61,50.0,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,5483f67f50a97a8dd7f404f80eab75e1,Great Eastern Entertainment Boys Attack On Titan - Levi Wallet,"Clothing, Shoes & Jewelry | Men | Accessories | Wallets, Card Cases & Money Organizers | Wallets",$24.53,1.6 ounces,Y,2023-12-09
